@relation DATOS_HORNO_ENTRENA

@attribute CODBOB numeric
@attribute CLASACERO {B011F97,B100F55,K011F57,B102G33,B100F33,B085G99,C107G55,D071F55,B085F97,B102G55,B012F53,B105F55,B011B99,D094B33,C115G55,D012G99,C116G55,D012F55,B120G55,C114G55,K011B55,B025F55,B016F35,B013B55,B103G55,B103G33,D032F55,D031B33,B101F55,D094G55,B012F55,B081B99,B014F53,B012B97,X100G99,K021H53,B044H53,N013H53,B042H53,B023H53,K022H53,N017B97,B013C55,B032H53,K021H43,B100B95}
@attribute ANCHO numeric
@attribute ESPESOR numeric
@attribute LARGO numeric
@attribute PESO numeric
@attribute VELMED numeric
@attribute TMPP1 numeric
@attribute TMPP2 numeric
@attribute TMPP2CNG numeric
@attribute THC1 numeric
@attribute THC3 numeric
@attribute THC5 numeric

@data
23313018,B100F55,1150,0.67,3019,18450,119,242,824,821,819,849,869
23313020,D071F55,1205,0.77,600,4450,94,250,782,780,762,791,817
23313023,B011F97,1256,0.573,1321,7720,79,235,765,770,750,780,801
23313024,B012F53,1250,0.6,3780,21990,98,250,777,782,760,790,811
23313025,B012F53,1250,0.6,3738,21820,112,241,781,783,771,801,825
23313026,B012F53,1250,0.6,3809,21990,119,241,780,780,773,803,826
23313027,B012F53,1250,0.6,3302,19453,124,237,782,780,781,811,833
23313028,B012F53,1250,0.6,3821,22080,126,241,783,783,786,815,835
23313029,B100F55,1062,0.7,2094,12240,93,253,803,825,795,823,843
23313030,B100F55,1062,0.7,1348,7810,41,266,807,825,795,825,843
23313031,B105F55,1040,0.7,3244,18340,89,257,851,846,824,854,877
23313032,B102G55,885,0.8,2351,13050,110,256,807,800,803,836,853
23313033,B102G55,885,0.8,2744,15220,113,253,795,800,805,835,854
23313034,B102G55,885,0.8,2744,15170,115,254,824,800,836,864,882
23313035,B011B99,1003,0.961,824,6150,82,249,853,800,853,883,898
23313036,D094B33,775,1.37,1152,9710,76,243,839,800,831,861,877
23313037,D094B33,775,1.37,552,4610,39,269,841,800,801,831,850
23313038,B100F55,838,1.49,681,6580,54,265,819,783,815,845,860
23323001,C115G55,775,1.5,1260,11870,63,265,827,800,814,844,859
23323002,C115G55,775,1.5,1276,12090,32,285,788,800,764,785,797
23323003,D012G99,889,1.951,891,12050,30,267,755,800,770,786,788
23323004,C116G55,1034,1.921,503,7720,54,250,758,750,779,805,819
23323005,C116G55,1034,1.921,591,9090,55,256,747,750,779,805,819
23323006,D012G99,886,1.951,350,4730,55,253,768,750,786,816,833
23323007,D012G99,886,1.951,399,5460,999,253,777,750,786,816,833
23323010,D012F55,845,1.77,736,9060,53,256,744,750,781,801,811
23323011,D012F55,845,1.77,1330,16350,51,235,748,760,791,814,824
23323012,B120G55,904,1.481,1362,14080,61,256,794,800,807,837,862
